publishedAt,authorDisplayName,textDisplay,likeCount,Type,char_count,textDisplay_clean,textDisplay_casefolding,textDisplay_stopword,textDisplay_token,textDisplay_stemming
2024-12-09 06:36:29+00:00,@kutuskutusjambi,ABEEE â¤,0,Non-Toxic,9,ABEEE ,abeee ,abeee,['abeee'],['abeee']
2024-12-09 06:09:30+00:00,@LEON-xp1su,kelihatan didikanya,0,Toxic,19,kelihatan didikanya,kelihatan didikanya,didikanya,['didikanya'],['kanya']
2024-12-09 11:33:15+00:00,@Susiandriani592,Ni org pesbuk dan toktok yg nyampah disini kelihatan bgt SDM rendah nya yg suka banding&quot; in .. miriss sekali tolill emang,0,Toxic,126,Ni org pesbuk dan toktok yg nyampah disini kelihatan bgt SDM rendah nya yg suka bandingquot in  miriss sekali tolill emang,ni org pesbuk dan toktok yg nyampah disini kelihatan bgt sdm rendah nya yg suka bandingquot in  miriss sekali tolill emang,ni org pesbuk toktok yg nyampah bgt sdm rendah nya yg suka bandingquot in miriss tolill emang,"['ni', 'org', 'pesbuk', 'toktok', 'yg', 'nyampah', 'bgt', 'sdm', 'rendah', 'nya', 'yg', 'suka', 'bandingquot', 'in', 'miriss', 'tolill', 'emang']","['ni', 'org', 'pesbuk', 'toktok', 'yg', 'nyampah', 'bgt', 'sdm', 'rendah', 'nya', 'yg', 'suka', 'bandingquot', 'in', 'miriss', 'tolill', 'emang']"
2024-12-09 06:06:00+00:00,@n1n143,"Setiap nonton rans ini seneng banget sih, kemarin sepupu dapet give way kok kt semua seneng ya pdhl kt sering ikut tp blm rizki kali ya",1,Toxic,135,Setiap nonton rans ini seneng banget sih kemarin sepupu dapet give way kok kt semua seneng ya pdhl kt sering ikut tp blm rizki kali ya,setiap nonton rans ini seneng banget sih kemarin sepupu dapet give way kok kt semua seneng ya pdhl kt sering ikut tp blm rizki kali ya,nonton rans seneng banget sih kemarin sepupu dapet give way kt seneng ya pdhl kt tp blm rizki kali ya,"['nonton', 'rans', 'seneng', 'banget', 'sih', 'kemarin', 'sepupu', 'dapet', 'give', 'way', 'kt', 'seneng', 'ya', 'pdhl', 'kt', 'tp', 'blm', 'rizki', 'kali', 'ya']","['nonton', 'rans', 'neng', 'banget', 'sih', 'kemarin', 'sepupu', 'dapet', 'give', 'way', 'kt', 'neng', 'ya', 'pdhl', 'kt', 'tp', 'blm', 'rizki', 'kali', 'ya']"
2024-12-09 05:47:52+00:00,@widyamrchelinaa7637,Cipung abubuðŸ¥°ðŸ¥°,0,Non-Toxic,20,Cipung abubu,cipung abubu,cipung abubu,"['cipung', 'abubu']","['cipung', 'abubu']"
2024-12-09 05:29:06+00:00,@tiararizky5783,ABEEE GEMES BGT YAALLAHHHâ¤,0,Non-Toxic,28,ABEEE GEMES BGT YAALLAHHH,abeee gemes bgt yaallahhh,abeee gemes bgt yaallahhh,"['abeee', 'gemes', 'bgt', 'yaallahhh']","['abeee', 'gemes', 'bgt', 'yaallahhh']"
2024-12-09 05:27:53+00:00,@ManarinsanTogatorop,Memang bagus yang namanya pertemanan sejak dini tapi itu tidak abadi semuanya itu hanya sia sia.,0,Non-Toxic,96,Memang bagus yang namanya pertemanan sejak dini tapi itu tidak abadi semuanya itu hanya sia sia,memang bagus yang namanya pertemanan sejak dini tapi itu tidak abadi semuanya itu hanya sia sia,bagus namanya pertemanan abadi sia sia,"['bagus', 'namanya', 'pertemanan', 'abadi', 'sia', 'sia']","['bagus', 'nama', 'teman', 'abadi', 'sia', 'sia']"
2024-12-09 05:24:01+00:00,@frans8555,Suka banget liat mama nya Abe dirumah orang habis anak nya main di beresin keren Etika nya . Orang pasti seneng ngundang nya,8,Non-Toxic,124,Suka banget liat mama nya Abe dirumah orang habis anak nya main di beresin keren Etika nya  Orang pasti seneng ngundang nya,suka banget liat mama nya abe dirumah orang habis anak nya main di beresin keren etika nya  orang pasti seneng ngundang nya,suka banget liat mama nya abe dirumah orang habis anak nya main beresin keren etika nya orang seneng ngundang nya,"['suka', 'banget', 'liat', 'mama', 'nya', 'abe', 'dirumah', 'orang', 'habis', 'anak', 'nya', 'main', 'beresin', 'keren', 'etika', 'nya', 'orang', 'seneng', 'ngundang', 'nya']","['suka', 'banget', 'liat', 'mama', 'nya', 'abe', 'rumah', 'orang', 'habis', 'anak', 'nya', 'main', 'resin', 'keren', 'etika', 'nya', 'orang', 'neng', 'ngundang', 'nya']"
2024-12-09 05:16:38+00:00,@siskaandreini7768,"Knpa di ajaÂ² in sih ya namanya bagusÂ² rayanza. Rafathar ngga di panggilÂ² nama kecil gt,ya rafathar aja panggilnya.",0,Toxic,117,Knpa di aja in sih ya namanya bagus rayanza Rafathar ngga di panggil nama kecil gtya rafathar aja panggilnya,knpa di aja in sih ya namanya bagus rayanza rafathar ngga di panggil nama kecil gtya rafathar aja panggilnya,knpa aja in sih ya namanya bagus rayanza rafathar ngga panggil nama gtya rafathar aja panggilnya,"['knpa', 'aja', 'in', 'sih', 'ya', 'namanya', 'bagus', 'rayanza', 'rafathar', 'ngga', 'panggil', 'nama', 'gtya', 'rafathar', 'aja', 'panggilnya']","['knpa', 'aja', 'in', 'sih', 'ya', 'nama', 'bagus', 'rayanza', 'rafathar', 'ngga', 'panggil', 'nama', 'gtya', 'rafathar', 'aja', 'panggil']"
2024-12-09 04:54:48+00:00,@Saryeaaa,â€œterima kasih ya bro ajjaâ€ ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,0,Non-Toxic,47,terima kasih ya bro ajja ,terima kasih ya bro ajja ,terima kasih ya bro ajja,"['terima', 'kasih', 'ya', 'bro', 'ajja']","['terima', 'kasih', 'ya', 'bro', 'ajja']"
2024-12-09 04:51:44+00:00,@nurazzahraputri8166,Lutuu naaaa gemasss bngttðŸ˜,0,Non-Toxic,29,Lutuu naaaa gemasss bngtt,lutuu naaaa gemasss bngtt,lutuu naaaa gemasss bngtt,"['lutuu', 'naaaa', 'gemasss', 'bngtt']","['lutuu', 'naaaa', 'gemasss', 'bngtt']"
2024-12-09 04:48:54+00:00,@nurulkhotifah8067,Cuuuu bgtttttttt masyaallah,0,Non-Toxic,27,Cuuuu bgtttttttt masyaallah,cuuuu bgtttttttt masyaallah,cuuuu bgtttttttt masyaallah,"['cuuuu', 'bgtttttttt', 'masyaallah']","['cuuuu', 'bgtttttttt', 'masyaallah']"
2024-12-09 04:47:10+00:00,@risnalamelanagifirilarani464,Tebak umur penontonðŸ˜­ðŸ˜­,0,Non-Toxic,27,Tebak umur penonton,tebak umur penonton,tebak umur penonton,"['tebak', 'umur', 'penonton']","['tebak', 'umur', 'tonton']"
2024-12-09 03:55:52+00:00,@anisaramdhini9273,ABE COMELLLL BANGETTT,0,Non-Toxic,21,ABE COMELLLL BANGETTT,abe comellll bangettt,abe comellll bangettt,"['abe', 'comellll', 'bangettt']","['abe', 'comellll', 'bangettt']"
2024-12-09 03:51:25+00:00,@diazfirzakhoirumasyahrani1077,BISAAA GAA DURASIINYA SAMPEEE LULUS KULIAHHHHðŸ¥ºðŸ¥ºðŸ¥ºðŸ¥ºðŸ˜Š,0,Non-Toxic,65,BISAAA GAA DURASIINYA SAMPEEE LULUS KULIAHHHH,bisaaa gaa durasiinya sampeee lulus kuliahhhh,bisaaa gaa durasiinya sampeee lulus kuliahhhh,"['bisaaa', 'gaa', 'durasiinya', 'sampeee', 'lulus', 'kuliahhhh']","['bisaaa', 'gaa', 'durasi', 'sampeee', 'lulus', 'kuliahhhh']"
2024-12-09 03:49:17+00:00,@indahouse132,Si duo imut,0,Non-Toxic,11,Si duo imut,si duo imut,si duo imut,"['si', 'duo', 'imut']","['si', 'duo', 'imut']"
